Msg,Label
CONGRATULATIONS! FREE 2GB data is yours! Claim on Airtel Thanks App Now. Hurry i.airtel.in/e/csl_ml_2GB,spam
"Hi! Thank you for being with Vi-India's FASTEST 4G, Ookla-verified. We'd love to improve ourselves! Click http://bit.ly/3uU8D31 to share your feedback.",spam
"As part of Cyber Swachhta Pakhwada, CERT-In GoI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in",spam
Study from Home with Vi!! Watch Kite Victers Channel FREE on your Mobile with Vi . Download Vi Movies and TV app now . Click bit.ly/Vi-kite2,spam
"Hi, [1] new Home Loan offer for you | Rates start as low as 6.75% | EMIs from Rs. 649/lakh. Apply now. TnC apply bnkbzr.co/o68urxqDiB",spam
"The summer heat is here ! Get your AC, Air Cooler or Fridge now and pay later at no cost using Federal Bank Debit Card EMI ! Click https://fdrl.in/t/dPmgHO for the latest offers -Federal Bank",spam
Don't let security concerns ruin your travel plans! Get Airtel Xsafe- Wi-Fi enabled surveillance solution that sends real time alerts. Order now and get FREE installation i.airtel.in/PreEye,spam
"Rs299 recharged! Enjoy Unlimited Calls+4GB/Day+100SMS/Day. Valid for 28 Days.Your 1 yr ZEE5 Premium subscription credited! To activate, click bit.ly/ViZee5Offer",spam
You're just 1 step away from FREE router! Get Airtel Xstream Fiber & enjoy up to 1 Gbps speeds on all your devices! Plans starting at just Rs 499! i.airtel.in/Exclusiveoffer,spam
This diwali let's do big savings. Get 75% off on salary withdrawals upto Rs3000. Offer valid 25th Oct-13th Nov. Sign up now weurl.co/wiroNb Team Refyne,spam
"Dear Customer, Exclusive Offer! Get 5% Unlimited Cashback with Flipkart Axis Bank Credit Card. Apply now for a Rs.1000* Gift Card> http://fkrt.it/Y4frc9NNNN",spam
"Congrats , It's confirmed! Get Cash Loan up to Rs.50,000 at Truebalance. No paperwork, quick approval! Click - http://1kx.in/kA9HAQ - Credit Cardon",spam
"Congrats 99467696XX, Your Credit Card Of Limit Rs 500000 Is Ready for Pre-approval.T&C Apply, Click here : http://1kx.in/jdrQUy",spam
OTP is 513485 and is valid for 10 minutes. Aadhaar enrollment and Mandatory biometric updates are free.Pay only Rs.50 for other updation,spam
"Your A/c can be credited with Rs.3,99,999* Instant transfer..! Secure and hassle-free Loan. Apply now: a0n.in/s/jBq0k3F8ud T&C*",spam
"Order of Online, your product ,AWB:23409913772622 is picked.Download ack.:https://tiny.xbees.in/zvH8q5xU ,For feedback click fb.xbees.in/eaf2e66i Xpressbees",spam
"Dear Digi Yatri, Your OTP for Digi Yatra App is 779357 Have a seamless and health-risk-free journey. Thanks, Digi Yatra Foundation 6q3sJ5ApRx2",spam
"Verify the credentials of unknown callers, investment portals offering high returns and requests for urgent help for money received through Social Media. -RBI",spam
"Do not click on unknown links offering cashback, attractive returns, quick loans, job offers or requests for money. -RBI",spam
Beware of fake calls claiming that your registered mobile number will be blocked. To check/report mobile numbers in your name visit https://sancharsaathi.gov.in - Dept of Telecom,spam
UIDAI recommends updating Proof of Identity & Address documents in your Aadhaar (free at myaadhaar.uidai.gov.in or @ Rs 50/- at any Aadhaar Centre) -UIDAI,spam
"Dear Customer, Thank you for the transaction done today at SBI 70555 branch. Plz click on the given link to share your experience. https://crcf.sbi.co.in/ccf/home/GetFeedback?TxnDate=041023&TxnType=001060&JNo=20254308824. The feedback may be provided before 8 am tomorrow. No Personal Information would be captured. SBI",spam
"Dear we can offer you to work online & earn 8000-20000/day according to your performance, no time limit, contact: https://wa.me/919678462191 BBKUMR",spam
Do not click on suspicious link or download App which promises fake part /full time jobs.,spam
"Dear Amazon urgently recruiting for part-time jobs, you can earn 1000-3000Rs every day ,Click here to get yours: wa.me/918858599810 LFPL",spam
<#> 1347 is your OTP to login into Airtel Thanks app. OTP valid for 15 mins. Do not share with anyone. If this was not you click i.airtel.in/Contact N9BWuqauU1y,spam
"Dear Customer, avail the most rewarding Savings Account with YES BANK & also get offers on lockers, demat and loans. Know more: http://yesbnk.in/y8Itm5",spam
I will try to manage took tablets,ham
Get it fixed asap,ham
Not sure if I can join by tomorrow morning,ham
Hi,ham
Start discussing on topics,ham
I am working infront of ac now,ham
Msg sent by mistake,ham
Is the assistant's sharing tonight or tomorrow night,ham
I bought 200 shares,ham
Hi Team,ham
Hi team,ham
Please open a ticket with it support ; what else we can do ?,ham
Team inspite of multiple reminders this attendance is pathetic,ham
Only Last 3 hours to get the Best Deals,ham
For manager name in problem management incident,ham
I am restarting my laptop,ham
Today,ham
Okay,ham
No,ham
You can mail them,ham
What happened Shivam,ham
Rejoining,ham
How r u all,ham
Thank u keerthi,ham
Not required now,ham
Hi team please follow this book for switching,ham
Hi team I will join half hour delay,ham
I am trying,ham
Hoping for a better situation,ham
Waiting,ham
Hi Team,ham
